;Feature;Importance
0;latitude;0.1666626034331078
1;longitude;0.18210137526949008
2;minimo_noites;0.07646860774444976
3;numero_de_reviews;0.04774388195951258
4;reviews_por_mes;0.0444173381980219
5;disponibilidade_365;0.1309858449011757
6;bairro_group_Brooklyn;0.0004832238331672324
7;bairro_group_Manhattan;0.0023770607387639925
8;bairro_group_Queens;0.00045702001573911984
9;bairro_group_Staten Island;2.3477373342254212e-05
10;bairro_Arden Heights;0.0
11;bairro_Arrochar;8.039111899813162e-06
12;bairro_Arverne;0.00024018506063435777
13;bairro_Astoria;0.0010224782329550466
14;bairro_Bath Beach;3.0084823209262396e-08
15;bairro_Battery Park City;0.015296616785722859
16;bairro_Bay Ridge;0.0003060092761429843
17;bairro_Bay Terrace;0.0
18;bairro_Baychester;0.0
19;bairro_Bayside;0.0005511457609806772
20;bairro_Bayswater;0.0
21;bairro_Bedford-Stuyvesant;0.0012409128065307875
22;bairro_Belle Harbor;0.0
23;bairro_Bellerose;0.0
24;bairro_Belmont;2.2796389065677925e-07
25;bairro_Bensonhurst;1.5462054093789873e-06
26;bairro_Bergen Beach;0.0
27;bairro_Boerum Hill;4.7478126243568335e-05
28;bairro_Borough Park;1.645903924307787e-05
29;bairro_Breezy Point;0.0
30;bairro_Briarwood;2.4437701637210253e-05
31;bairro_Brighton Beach;3.0879850372299654e-06
32;bairro_Bronxdale;0.0
33;bairro_Brooklyn Heights;0.00042349230061402497
34;bairro_Brownsville;2.175175313064296e-07
35;bairro_Bull's Head;0.0
36;bairro_Bushwick;0.00015317033147310265
37;bairro_Cambria Heights;1.4125664759238752e-07
38;bairro_Canarsie;3.0299756654753914e-05
39;bairro_Carroll Gardens;3.3982123601406556e-05
40;bairro_Castle Hill;2.175000452254086e-06
41;bairro_Castleton Corners;0.0
42;bairro_Chelsea;0.005580139058803708
43;bairro_Chinatown;5.5832162139604345e-05
44;bairro_City Island;9.360499130881107e-06
45;bairro_Civic Center;7.252344193981205e-05
46;bairro_Claremont Village;0.0
47;bairro_Clason Point;0.0
48;bairro_Clifton;4.754140051990723e-06
49;bairro_Clinton Hill;0.02591102303644965
50;bairro_Co-op City;0.0
51;bairro_Cobble Hill;0.0004078087965825004
52;bairro_College Point;0.0
53;bairro_Columbia St;1.2253398275529282e-06
54;bairro_Concord;8.136448183450887e-07
55;bairro_Concourse;4.278358298435226e-07
56;bairro_Concourse Village;1.6556116581446624e-08
57;bairro_Coney Island;3.3810171887306124e-07
58;bairro_Corona;2.480070096612083e-07
59;bairro_Crown Heights;0.0006303402868975682
60;bairro_Cypress Hills;4.479779063706869e-06
61;bairro_DUMBO;1.8664062120300534e-05
62;bairro_Ditmars Steinway;2.8781918846960792e-05
63;bairro_Dongan Hills;0.0
64;bairro_Douglaston;0.0
65;bairro_Downtown Brooklyn;2.060674301176413e-06
66;bairro_Dyker Heights;3.147726607639474e-07
67;bairro_East Elmhurst;0.00010887462073871419
68;bairro_East Flatbush;4.155630701788098e-05
69;bairro_East Harlem;0.0003514353332543819
70;bairro_East Morrisania;9.056365390524429e-07
71;bairro_East New York;4.2245440700271536e-05
72;bairro_East Village;0.0019783052080676283
73;bairro_Eastchester;0.0
74;bairro_Edenwald;6.921574429221975e-08
75;bairro_Edgemere;0.0
76;bairro_Elmhurst;7.141368031105463e-05
77;bairro_Eltingville;0.0
78;bairro_Emerson Hill;0.0
79;bairro_Far Rockaway;0.00012884450918393785
80;bairro_Fieldston;0.0
81;bairro_Financial District;0.0007287668594032534
82;bairro_Flatbush;0.00012572053002541926
83;bairro_Flatiron District;0.0008121241620578809
84;bairro_Flatlands;0.0005128780421157274
85;bairro_Flushing;0.0005122490539546805
